Post ID,Description,Publish time,Permalink,Post type,Views,Reach,Likes,Shares,Follows,Comments,Saves
18102310844325782,"The reason you’re struggling to make the hard call isn’t because the decision is hard but because you haven’t decided where you’re trying to go.

It’s impossible to figure out which path in the road to take if you don’t know where you’re going.",06/14/2026 15:47,https://www.instagram.com/reel/DZlWTEwPXz4/,IG reel,21468,17393,109,12,6,3,29
18380074327164376,"How I remember my customer objectives:

“The 4Rs”

Retain: keep paying

Review: leave a testimonial/review

Refer: send other people

Resell: buy other stuff

Save for next time you create a customer journey.",06/14/2026 15:42,https://www.instagram.com/reel/DZlVfAzBcfh/,IG reel,2596,2096,17,6,3,0,2
17894049099353626,"The biggest reason the rich get richer (besides compounding) is they avoid things that don’t make enough money.

The more money you have, the more selective you are about which things are worth doing because fewer things move the needle for you.

If you make decisions like you have a lot of money, you make more faster.

This rich selection bias is arguably one of the most important because it denotes where they allocate their attention - and as a result - get more for what they put in.

Opportunity vehicle selection, rather than pure effort, is why they get such high returns.",06/14/2026 15:36,https://www.instagram.com/reel/DZlVJTlu1A0/,IG reel,1556,1221,10,0,1,0,0
17883996288426907,"You’re not afraid of failing.

You’re afraid of what other people will think of you if you fail.

But if you’re afraid of that, imagine what they think of you when you aren’t even trying.

Oh yea, they aren’t.",06/14/2026 15:30,https://www.instagram.com/reel/DZlTL4DhyFw/,IG reel,17317,13551,203,82,68,2,207
18140807056469701,"If they know why it’s important to the mission overall, to you, to their peers, to the customer, and most importantly how it helps them become their best selves (while also lining their pockets)…

You’ll probably have more people moving in alignment towards your vision.",06/14/2026 15:09,https://www.instagram.com/reel/DZlR2_YyWZd/,IG reel,28875,21268,158,16,8,6,42
17869092978553294,"If you find your passion, you won’t eliminate working for the rest of your life.

But it will give you a reason to do that work when it sucks.",06/14/2026 15:02,https://www.instagram.com/reel/DZlQtSxyIUb/,IG reel,10721,8128,30,2,5,0,9
17954902421981962,"Don’t fake it until you make it.

Make it - then state the facts.",06/14/2026 14:51,https://www.instagram.com/reel/DZlP1SSSshN/,IG reel,1705,1402,9,1,1,0,4
18080811314199048,"If you’re picking what kind of business model will make you the most money in an exit.

Rule of thumb:

Recurring Products > Recurring Services

Recurring Services > One Time Products

One Time Products > One Time Services",06/14/2026 13:13,https://www.instagram.com/reel/DZlEiv9yFNI/,IG reel,18325,13198,139,111,19,1,79
18085737890628934,A lot of long term business success comes down to cycling through enough people over the years to filter for the top 1% that are all savages and love working together. Then the goals you go after just get bigger and bigger. And you add a winner or two every year. And never stop.,06/14/2026 13:05,https://www.instagram.com/reel/DZlDrpXShWc/,IG reel,37310,26897,307,49,30,4,56
18082663493402029,Trust is the most undervalued asset in business.,06/14/2026 12:59,https://www.instagram.com/reel/DZlC-JwysSe/,IG reel,3983,3259,45,15,9,1,32
18092838047365833,"I’ve found it helpful when I’m in a bad season like I’m in right now to just focus on having a good day.

“A good day in a bad season.” It’s a bite sized victory.

String a few of those in a row and a bad season feels a little less bad.",06/14/2026 12:55,https://www.instagram.com/reel/DZlCewdSiVG/,IG reel,1990,1626,12,1,3,0,6
18155448535482258,"Most people underestimate the things they have to say no to when building.

Everything you say yes to is saying no to the thing you say you want most.

So you have to say no until it hurts.

Then say no some more.

So you can take one yes all the way.",06/14/2026 12:11,https://www.instagram.com/reel/DZk9drZvdg0/,IG reel,4873,4112,51,21,5,0,29
18103975331042821,It’s easier to sell one really expensive thing to one really rich person than many cheap things to many poor people.,06/14/2026 12:00,https://www.instagram.com/p/DZk8cWbGkk5/,IG carousel,475157,161276,3519,309,4,36,1124
1.81047E+16,"During my hardest days, I repeated the same phrase to myself:

I cannot lose if I do not quit.",06/14/2026 11:41,https://www.instagram.com/reel/DZk6MTEOpf_/,IG reel,14602,10416,154,26,9,0,39
18088027772575458,"Most people underestimate the things they have to say no to when building.

Everything you say yes to is saying no to the thing you say you want most.

So you have to say no until it hurts.

Then say no some more.

So you can take one yes all the way.",06/14/2026 6:00,https://www.instagram.com/reel/DZi_DOsO5O_/,IG reel,256554,171812,3232,434,22,50,883
18024055496833503,,06/14/2026 0:01,https://www.instagram.com/p/DZjqJ9llV_z/,IG image,1184499,687867,37005,8384,352,496,4307
18106072993979452,"Imagine you lose something that means a lot to you. The more vivid the loss the better.

Now, imagine what you gain in your life when you “get it back.”

The relief you experience is gratitude.",06/13/2026 18:33,https://www.instagram.com/reel/DZllsMrhROH/,IG reel,481348,295027,11400,716,103,207,1810
18029657636810419,"Everyone wants passive income.

No one wants to actively work for a decade to get it.

The “passive” part is the reward, not the strategy.",06/13/2026 12:00,https://www.instagram.com/reel/DZdODTNSjud/,IG reel,681868,429482,11554,1212,265,155,1854
18051119582751627,"Adding on more products and services always makes sense on paper…

Shared costs, more customers, added profits…etc.

The problem is - most businesses aren’t limited by their economics, they’re limited by their execution.",06/13/2026 6:00,https://www.instagram.com/reel/DZkTS58B0Vl/,IG reel,225727,143065,2125,144,20,58,317
18103849454097115,,06/13/2026 0:01,https://www.instagram.com/p/DZhFS28EY7U/,IG image,441112,247355,8969,843,44,98,1349
18103767628943003,"If you have no money, you should have no shame.

Knock.

Call.

Email.

Text.

DM.

Ask.

Life-changing doors don’t open themselves.",06/12/2026 12:00,https://www.instagram.com/reel/DZfy6HsSL3s/,IG reel,255336,159476,3720,392,47,51,1266
18104051408104495,"14 years of business advice in 50 seconds. 

Watch the full video 👇",06/12/2026 9:19,https://www.instagram.com/reel/DZfepiaOWS9/,IG reel,584290,366584,23311,6094,1337,197,13381
18326397505249895,"Simplest path to making money:

1) Find a service people already buy

2) Do it in half the time, make it twice as easy for the customer, or remove all risk

3) Ask everyone you know if they know anybody who wants it

4) Charge more than everyone else

5) Dont stop when u get bored",06/12/2026 6:00,https://www.instagram.com/reel/DZfJpvMB7Xt/,IG reel,326364,202965,4726,1168,135,57,2200
18314714044302664,,06/12/2026 0:01,https://www.instagram.com/p/DZegktLFmwy/,IG image,806885,474977,19612,5945,117,298,2557
17938597392254035,My life got a lot better when I stopped trying to be happy and started trying to be useful.,06/11/2026 18:00,https://www.instagram.com/reel/DZd3TTqPEWj/,IG reel,288669,182914,7821,783,95,116,2306
18095572679247024,"The person you spend the rest of your life with will have the largest impact on who you become, what you achieve, and how happy you are.

But most people spend more time deciding what car to buy or neighborhood they’re going to live in than the person they’re gonna marry.",06/11/2026 12:10,https://www.instagram.com/reel/DZdOxP5vKMV/,IG reel,782906,485186,24389,4481,272,427,4795
18094152230362837,"You feel stuck because you figured out success costs way more than you expected - and you’re not sure if you want it as much as the things you’d have to trade for it.

And that’s okay.",06/11/2026 6:00,https://www.instagram.com/reel/DZck4oJyMJj/,IG reel,206936,131706,3318,397,48,81,615
17867141949687055,,06/11/2026 0:02,https://www.instagram.com/p/DZb7xoFlufI/,IG image,1572619,961016,45247,9563,918,762,8057
18122386225735141,"How brand translates to profits:

Having a strong brand allows you to convert a higher percentage of customers at higher prices and pay better people less money to deliver.

This means higher ROAS, higher LTV, higher gross margins, and higher net profit.",06/10/2026 18:00,https://www.instagram.com/p/DZbSb6_D951/,IG carousel,529402,211745,4530,1461,83,53,2272
18096184565239217,"The two decisions that drive the most value in a company:

Pricing & People

And they also happen to be the two areas where founders give the most pushback.

Which is why they stay small.",06/10/2026 12:00,https://www.instagram.com/reel/DZapR9ch_Gv/,IG reel,472543,312296,13447,3786,644,128,8520
17893685217351523,"Easy productivity hack:

Instead of spending time “getting in the mood to work”…just start working.

Confront the work.",06/10/2026 6:00,https://www.instagram.com/reel/DZaACoYBMfr/,IG reel,445817,284269,10124,1561,79,143,3869
18120091363664875,Agree?,06/10/2026 0:01,https://www.instagram.com/reel/DZZW_CDD8Ru/,IG reel,674659,309963,13898,2389,70,168,4132
18463418230108656,"If you have a clear goal, fast feedback loops, and a long time horizon - winning is a ‘when’ question, not an ‘if’ question.",06/09/2026 18:00,https://www.instagram.com/p/DZYttBsmRwH/,IG carousel,649262,249359,5108,520,21,52,1948
17931117294313830,"Letting mediocre employees stay costs you more in four ways:
1) The money you pay them
2) The mistakes they make that cost you
3) The money you would’ve made by having a good employee in their place
4) The money you lose from winners by showing them mediocrity is tolerated",06/09/2026 12:00,https://www.instagram.com/reel/DZYEiSOhtS9/,IG reel,410635,278725,8500,3943,264,92,2285
17996196566956143,Alex Hormozi - Peace Or Power | Episode 158 PART 1 Out Now!! 🎙️🔥 #alexhormozi #podcast #newepisode #business #entrepreneur,06/09/2026 10:00,https://www.instagram.com/reel/DZX2o4PBeJe/,IG reel,378210,,6156,385,,67,0
18098647505146203,"When someone asks for a discount:

Add a bonus instead of lowering your price, then ask them to buy again.",06/09/2026 6:00,https://www.instagram.com/reel/DZXbRI3B508/,IG reel,908548,585125,22853,2125,277,353,3535
18065136827447739,,06/09/2026 0:02,https://www.instagram.com/p/DZWyOvwlvJf/,IG image,1033863,626322,32446,5696,404,406,7803
17864033385690820,People don’t care if you ask them to buy something if you help them first.,06/08/2026 20:18,https://www.instagram.com/p/DZWYtqUlAry/,IG carousel,573830,225223,6504,416,12,78,889
18117099622830675,Don’t build confidence. Build evidence. Confidence comes as a result of evidence. Not the other way around.,06/08/2026 6:00,https://www.instagram.com/reel/DZU2hmth7cZ/,IG reel,396103,245234,4645,437,22,115,1212
18102646961279985,,06/08/2026 0:01,https://www.instagram.com/p/DZUNTzjFdz3/,IG image,489572,276135,13752,2634,51,157,2330
17987642070004376,"The fastest growth periods are often the most miserable.

If you want progress, get used to pain.",06/07/2026 18:10,https://www.instagram.com/p/DZTlQUVFADg/,IG carousel,831656,361661,6359,297,10,51,1008
17978264109040266,"Experience is good. But intelligence is better.

We hire for experience because we assume what worked last time will work this time.

But if they had the intelligence to figure it out last time, they’ll have it this time too.

If they don’t, experience won’t matter.",06/07/2026 12:00,https://www.instagram.com/reel/DZS61hDB_XR/,IG reel,290614,173929,4690,700,38,78,1465
17920302462367863,"To have a business that compounds in growth you either have to:

1) Sell stuff people don’t stop buying

2) Recruit people who never stop selling

Otherwise you never get credit for what you did last year and are always repeating your “first year” of business.",06/07/2026 6:00,https://www.instagram.com/reel/DZSRvLABafC/,IG reel,236818,145938,2688,309,20,75,727
18594847462040884,,06/07/2026 0:01,https://www.instagram.com/p/DZRoi20lVT1/,IG image,794761,437240,23314,4627,426,237,5181
18083306885323196,"Get rich with no money:

1) Learn to sell.

2) Find most expensive thing.

3) Sell it.

4) Collect commission.

Works from $500 things to $5,000,0000,000 companies.",06/06/2026 12:00,https://www.instagram.com/reel/DZQWExPBgut/,IG reel,348791,218955,6271,532,60,40,1394
18127967893611530,To succeed you just need to do so many reps that it would be unreasonable for you to fail.,06/06/2026 6:00,https://www.instagram.com/reel/DZPs3_rhj5o/,IG reel,489374,298344,10496,1271,185,121,2965
18066728264404411,,06/06/2026 0:01,https://www.instagram.com/p/DZPDy6plunG/,IG image,640005,366580,17700,3475,83,148,6827
17975584934882566,"The reason you’re struggling to make the hard call isn’t because the decision is hard but because you haven’t decided where you’re trying to go.

It’s impossible to figure out which path in the road to take if you don’t know where you’re going.",06/05/2026 12:00,https://www.instagram.com/reel/DZNxWpGB2r_/,IG reel,201188,123672,1733,259,19,38,423
17884684800573320,"To losers, their hardship is their reality.

To winners, their hardship is their origin story.",06/05/2026 9:58,https://www.instagram.com/reel/DZNjPYRuiX4/,IG reel,13821,10709,109,12,11,1,39
18201398083314499,"Easy productivity hack:

Instead of spending time “getting in the mood to work”…just start working.

Confront the work.",06/05/2026 9:52,https://www.instagram.com/reel/DZNiiB2OTcB/,IG reel,24402,19407,265,206,36,4,184
